Customer_ID,Date,Product,Issue_Type,Channel,Resolution_Time,Satisfaction_Score,Repeat_Contact
C110,2026-02-10,SUV,Delivery,WhatsApp,29,4,No
C113,2026-02-10,Sedan,Technical,Phone,63,3,No
C050,2026-02-11,SUV,Delivery,WhatsApp,13,5,Yes
C186,2026-02-11,SUV,Delivery,Email,39,4,No
C230,2026-02-11,SUV,Billing,Email,35,4,No
C214,2026-02-12,Sedan,Billing,Email,28,3,No
C142,2026-02-13,SUV,Technical,Phone,63,3,No
C158,2026-02-13,Truck,Technical,Phone,57,3,No
C165,2026-02-13,Sedan,Technical,WhatsApp,38,3,No
C175,2026-02-13,Truck,Delivery,WhatsApp,29,5,No
C204,2026-02-14,Truck,Delivery,WhatsApp,38,5,No
C099,2026-02-15,SUV,Billing,WhatsApp,22,5,No
C280,2026-02-15,SUV,Technical,Email,78,3,Yes
C073,2026-02-16,SUV,Billing,Email,35,4,No
C228,2026-02-16,SUV,Technical,Email,57,3,No
C253,2026-02-16,SUV,Technical,Email,73,3,No
C179,2026-02-17,Truck,Delivery,WhatsApp,14,5,No
C281,2026-02-17,Sedan,Billing,Email,27,4,No
C289,2026-02-17,Truck,Delivery,WhatsApp,31,5,No
C114,2026-02-18,SUV,Billing,WhatsApp,34,3,No
C199,2026-02-18,SUV,Technical,Email,49,4,Yes
C191,2026-02-20,Sedan,Technical,WhatsApp,18,5,No
C208,2026-02-20,Truck,Billing,Email,50,3,No
C251,2026-02-20,Truck,Technical,WhatsApp,83,3,Yes
C299,2026-02-21,SUV,Billing,Phone,56,4,Yes
C197,2026-02-22,Truck,Delivery,Phone,35,3,No
C232,2026-02-22,SUV,Technical,Phone,56,3,No
C249,2026-02-22,Sedan,Delivery,WhatsApp,34,4,No
C260,2026-02-23,SUV,Technical,Phone,82,2,No
C055,2026-02-24,SUV,Technical,Phone,49,4,No
C100,2026-03-01,Sedan,Billing,WhatsApp,23,4,No
C167,2026-03-01,SUV,Technical,WhatsApp,58,2,Yes
C173,2026-03-02,Truck,Billing,Email,42,3,No
C106,2026-03-03,Sedan,Technical,WhatsApp,65,3,No
C032,2026-03-04,Truck,Technical,Phone,74,2,No
C040,2026-03-04,Sedan,Technical,Phone,55,3,No
C275,2026-03-04,Truck,Billing,Email,19,5,No
C052,2026-03-05,Sedan,Technical,Phone,47,3,No
C137,2026-03-05,Sedan,Delivery,WhatsApp,30,5,No
C196,2026-03-05,SUV,Technical,Phone,65,3,No
C198,2026-03-05,Truck,Billing,Email,24,4,No
C291,2026-03-05,Truck,Technical,WhatsApp,64,3,No
C066,2026-03-06,Truck,Delivery,WhatsApp,25,5,No
C094,2026-03-06,SUV,Billing,Phone,13,4,No
C287,2026-03-06,SUV,Billing,Email,30,5,No
C298,2026-03-06,SUV,Delivery,WhatsApp,20,4,No
C174,2026-03-07,Truck,Delivery,Email,37,5,No
C188,2026-03-09,Sedan,Billing,Phone,40,4,No
C285,2026-03-09,Sedan,Delivery,Phone,32,5,No
C087,2026-03-10,SUV,Billing,WhatsApp,17,5,No
C090,2026-03-10,Sedan,Billing,Email,11,4,No
C141,2026-03-10,SUV,Billing,Email,43,3,No
C194,2026-03-10,Sedan,Technical,Phone,46,3,No
C060,2026-03-11,SUV,Technical,WhatsApp,81,2,No
C138,2026-03-11,Sedan,Delivery,WhatsApp,19,4,No
C202,2026-03-11,Truck,Delivery,WhatsApp,44,4,No
C203,2026-03-11,Sedan,Technical,Phone,70,2,No
C227,2026-03-11,SUV,Technical,Phone,55,4,No
C035,2026-03-12,SUV,Technical,Phone,61,2,Yes
C042,2026-03-13,Sedan,Delivery,WhatsApp,20,5,No
C145,2026-03-13,Truck,Billing,Email,41,4,No
C164,2026-03-13,Truck,Technical,Phone,69,3,Yes
C117,2026-03-14,Truck,Technical,Email,99,1,No
C206,2026-03-14,SUV,Billing,Phone,27,4,Yes
C132,2026-03-15,Truck,Technical,Email,67,2,No
C134,2026-03-15,SUV,Technical,WhatsApp,57,3,No
C151,2026-03-15,SUV,Billing,Email,49,4,No
C225,2026-03-17,SUV,Technical,Email,52,2,No
C276,2026-03-18,Sedan,Technical,WhatsApp,34,4,No
C226,2026-03-19,SUV,Technical,Phone,49,4,No
C267,2026-03-19,SUV,Delivery,WhatsApp,37,4,No
C172,2026-03-22,Sedan,Billing,WhatsApp,50,3,Yes
C215,2026-03-22,SUV,Technical,Phone,78,2,Yes
C247,2026-03-22,SUV,Technical,Phone,45,4,No
C183,2026-03-23,Truck,Billing,Email,48,3,No
C041,2026-03-25,Truck,Billing,Phone,45,4,No
C282,2026-03-25,SUV,Billing,Phone,28,5,No
C034,2026-03-26,Sedan,Billing,Phone,38,5,No
C098,2026-03-26,Sedan,Billing,Email,34,4,No
C103,2026-03-26,SUV,Billing,Email,19,4,No
C049,2026-03-27,SUV,Technical,Phone,69,3,No
C252,2026-03-28,SUV,Technical,WhatsApp,57,3,No
C036,2026-03-30,Sedan,Technical,WhatsApp,35,4,No
C236,2026-03-30,SUV,Billing,WhatsApp,27,5,No
C091,2026-03-31,SUV,Delivery,WhatsApp,12,4,No
C264,2026-03-31,SUV,Technical,Email,39,4,No
C300,2026-03-31,Truck,Technical,Email,65,3,No
C130,2026-04-01,SUV,Billing,WhatsApp,17,5,No
C154,2026-04-01,Truck,Delivery,WhatsApp,20,5,No
C297,2026-04-01,Sedan,Billing,WhatsApp,21,3,No
C047,2026-04-02,SUV,Billing,Email,24,4,No
C070,2026-04-02,SUV,Billing,WhatsApp,34,4,No
C149,2026-04-02,Sedan,Delivery,Email,17,5,No
C166,2026-04-02,Truck,Billing,Phone,25,4,No
C217,2026-04-05,Sedan,Delivery,Phone,46,5,No
C240,2026-04-06,Sedan,Technical,Phone,68,2,No
C263,2026-04-06,SUV,Billing,Phone,35,4,No
C072,2026-04-08,SUV,Billing,Email,31,4,No
C115,2026-04-08,Sedan,Technical,Phone,32,4,No
C205,2026-04-08,Truck,Billing,WhatsApp,46,3,No
C182,2026-04-09,SUV,Billing,Email,31,4,No
C256,2026-04-09,Sedan,Billing,Email,32,5,No
C080,2026-04-10,Sedan,Technical,Phone,78,2,No
C209,2026-04-10,Sedan,Technical,Phone,27,4,No
C153,2026-04-11,Truck,Billing,Phone,60,3,Yes
C238,2026-04-11,Sedan,Billing,Phone,41,3,No
C255,2026-04-11,Sedan,Delivery,WhatsApp,33,4,No
C056,2026-04-15,Truck,Billing,Email,36,4,No
C086,2026-04-15,Sedan,Technical,WhatsApp,59,3,No
C156,2026-04-15,Truck,Billing,Email,24,5,No
C160,2026-04-15,Sedan,Delivery,Email,24,5,No
C233,2026-04-15,Truck,Delivery,WhatsApp,20,4,No
C244,2026-04-16,SUV,Billing,WhatsApp,44,4,No
C284,2026-04-16,Truck,Delivery,WhatsApp,44,4,No
C065,2026-04-19,Sedan,Billing,Phone,36,5,No
C148,2026-04-19,Sedan,Billing,Email,19,5,No
C213,2026-04-20,Sedan,Delivery,WhatsApp,19,5,No
C224,2026-04-22,SUV,Technical,Phone,89,2,No
C184,2026-04-23,Sedan,Delivery,Email,27,5,No
C104,2026-04-24,Sedan,Billing,Email,33,4,No
C064,2026-04-25,Sedan,Technical,WhatsApp,52,3,Yes
C155,2026-04-25,SUV,Technical,WhatsApp,55,4,No
C229,2026-04-25,Sedan,Billing,WhatsApp,23,5,No
C235,2026-04-27,Sedan,Technical,Phone,41,4,No
C128,2026-04-28,SUV,Technical,Email,67,2,No
C168,2026-04-28,SUV,Billing,Email,31,4,No
C147,2026-04-29,SUV,Technical,Email,27,4,No
C286,2026-04-29,Sedan,Delivery,WhatsApp,10,5,No
C033,2026-05-01,Sedan,Technical,WhatsApp,52,3,No
C118,2026-05-01,Sedan,Delivery,Email,17,5,No
C119,2026-05-01,SUV,Technical,Phone,60,3,No
C272,2026-05-01,SUV,Technical,Phone,70,2,Yes
C077,2026-05-02,SUV,Billing,Email,35,5,No
C180,2026-05-02,SUV,Billing,Phone,30,5,No
C101,2026-05-04,Truck,Billing,Email,40,5,No
C105,2026-05-04,SUV,Delivery,WhatsApp,15,5,No
C112,2026-05-04,SUV,Delivery,WhatsApp,16,4,No
C207,2026-05-04,Truck,Billing,Phone,17,4,No
C123,2026-05-05,Truck,Delivery,Email,48,3,Yes
C178,2026-05-06,Truck,Technical,Email,84,2,No
C270,2026-05-07,Truck,Billing,Phone,48,3,No
C078,2026-05-08,SUV,Technical,Phone,45,3,No
C129,2026-05-08,SUV,Delivery,Email,50,3,No
C159,2026-05-09,SUV,Delivery,Phone,44,3,No
C076,2026-05-10,SUV,Technical,Phone,88,1,Yes
C237,2026-05-11,SUV,Technical,Phone,36,4,No
C192,2026-05-12,SUV,Delivery,Email,22,5,No
C210,2026-05-12,SUV,Billing,Phone,46,4,No
C111,2026-05-13,SUV,Technical,Phone,76,3,Yes
C146,2026-05-13,SUV,Delivery,Phone,38,4,No
C200,2026-05-14,SUV,Delivery,Email,28,4,No
C293,2026-05-14,Sedan,Technical,Phone,72,2,Yes
C063,2026-05-15,Sedan,Billing,Phone,38,4,No
C089,2026-05-15,Truck,Billing,WhatsApp,32,3,No
C120,2026-05-15,SUV,Technical,Phone,67,2,No
C131,2026-05-15,Truck,Delivery,Email,29,4,No
C187,2026-05-16,Sedan,Delivery,WhatsApp,22,4,No
C157,2026-05-17,Sedan,Delivery,WhatsApp,20,5,Yes
C234,2026-05-17,SUV,Billing,Email,39,4,No
C058,2026-05-18,Sedan,Billing,Email,24,5,No
C150,2026-05-18,Sedan,Billing,Email,37,4,Yes
C294,2026-05-18,SUV,Delivery,Phone,17,4,No
C190,2026-05-19,SUV,Billing,Phone,42,4,No
C278,2026-05-19,Sedan,Technical,Phone,44,3,No
C059,2026-05-20,SUV,Delivery,Email,42,5,No
C069,2026-05-20,Truck,Billing,Phone,36,4,No
C144,2026-05-20,SUV,Technical,Phone,38,3,No
C031,2026-05-22,Truck,Billing,Email,46,4,No
C048,2026-05-22,Sedan,Technical,Email,84,2,Yes
C268,2026-05-22,Truck,Technical,WhatsApp,59,3,No
C161,2026-05-26,Sedan,Billing,WhatsApp,19,4,No
C140,2026-05-27,SUV,Billing,Phone,24,4,No
C262,2026-05-27,Sedan,Delivery,WhatsApp,30,4,No
C125,2026-05-28,SUV,Technical,Email,68,3,Yes
C152,2026-05-28,Truck,Technical,Phone,71,2,Yes
C181,2026-05-28,SUV,Delivery,WhatsApp,24,4,No
C250,2026-05-28,SUV,Billing,Email,34,4,No
C288,2026-05-28,Truck,Delivery,Email,37,4,No
C037,2026-05-29,SUV,Billing,Email,33,4,Yes
C107,2026-05-29,SUV,Delivery,WhatsApp,31,5,No
C223,2026-05-30,SUV,Delivery,WhatsApp,26,5,No
C248,2026-06-01,Truck,Technical,Phone,76,1,No
C265,2026-06-01,SUV,Technical,Phone,59,3,No
C067,2026-06-03,Truck,Billing,Email,24,4,No
C176,2026-06-03,Sedan,Technical,Phone,61,3,No
C201,2026-06-03,SUV,Technical,Phone,63,3,No
C245,2026-06-03,Truck,Delivery,WhatsApp,30,4,No
C074,2026-06-04,Sedan,Billing,Email,32,4,No
C075,2026-06-05,Truck,Delivery,WhatsApp,32,4,No
C195,2026-06-05,Truck,Technical,Email,66,4,No
C283,2026-06-05,SUV,Billing,Phone,36,4,No
C095,2026-06-06,SUV,Delivery,WhatsApp,27,5,No
C097,2026-06-06,SUV,Technical,Phone,57,4,No
C171,2026-06-06,Sedan,Technical,Phone,35,4,No
C231,2026-06-06,Sedan,Technical,Phone,65,2,No
C081,2026-06-08,SUV,Technical,Phone,94,2,No
C092,2026-06-08,SUV,Delivery,Phone,32,5,No
C127,2026-06-08,Sedan,Delivery,Phone,23,5,No
C246,2026-06-08,Sedan,Delivery,WhatsApp,34,3,No
C266,2026-06-08,Sedan,Billing,Phone,34,4,No
C279,2026-06-08,Sedan,Technical,WhatsApp,63,3,No
C193,2026-06-10,Sedan,Technical,WhatsApp,67,2,No
C271,2026-06-10,Truck,Billing,Email,35,5,No
C116,2026-06-11,Sedan,Technical,Email,60,2,No
C163,2026-06-12,SUV,Billing,Email,40,3,No
C295,2026-06-12,SUV,Technical,Email,99,1,Yes
C261,2026-06-13,SUV,Billing,WhatsApp,25,5,No
C135,2026-06-14,SUV,Technical,WhatsApp,48,2,No
C257,2026-06-14,Sedan,Billing,Email,28,4,No
C108,2026-06-15,SUV,Billing,Phone,32,5,No
C079,2026-06-17,Sedan,Technical,Phone,91,2,No
C222,2026-06-17,Truck,Billing,Email,44,3,No
C243,2026-06-17,Sedan,Technical,Phone,77,1,Yes
C292,2026-06-17,SUV,Technical,Email,47,3,No
C082,2026-06-19,SUV,Delivery,WhatsApp,39,4,No
C085,2026-06-19,SUV,Billing,Phone,39,4,No
C162,2026-06-19,SUV,Technical,Phone,95,2,No
C258,2026-06-19,Sedan,Delivery,WhatsApp,39,4,No
C083,2026-06-22,SUV,Technical,Phone,68,3,No
C239,2026-06-22,SUV,Delivery,WhatsApp,29,5,No
C273,2026-06-22,SUV,Delivery,WhatsApp,18,5,No
C177,2026-06-23,SUV,Technical,Phone,62,3,Yes
C044,2026-06-24,Sedan,Technical,Phone,54,3,No
C051,2026-06-24,Sedan,Delivery,Phone,47,5,No
C122,2026-06-24,Truck,Delivery,Phone,54,3,No
C241,2026-06-24,SUV,Technical,Phone,61,3,No
C259,2026-06-24,SUV,Technical,Email,60,2,No
C274,2026-06-24,SUV,Delivery,Phone,24,4,No
C054,2026-06-26,SUV,Technical,Email,61,3,No
C061,2026-06-26,Sedan,Billing,Phone,48,4,No
C102,2026-06-26,SUV,Billing,Phone,26,5,No
C121,2026-06-28,Sedan,Technical,Email,63,2,No
C169,2026-06-28,Truck,Billing,Phone,54,3,Yes
C211,2026-06-29,SUV,Technical,Phone,65,3,No
C068,2026-06-30,Sedan,Technical,WhatsApp,30,5,No
C277,2026-06-30,SUV,Billing,Email,37,4,No
